Type,Rating,Coeff,Size ,One,Two,Three,Four,Five,Six,Seven,Eight,Nine
1,1,0,16,377,725,1208,1885,2823,4031,5376,6268,6338
1,1,1,16,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,1,2,16,0.78,0.81,0.81,0.79,0.75,0.69,0.62,0.56,0.52
1,1,3,16,0.51,0.55,0.55,0.53,0.47,0.4,0.33,0.26,0.23
1,1,0,18,385,814,1424,2305,3564,5301,7375,8966,9214
1,1,1,18,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,1,2,18,0.78,0.81,0.81,0.79,0.75,0.69,0.62,0.56,0.52
1,1,3,18,0.51,0.55,0.55,0.53,0.47,0.4,0.33,0.26,0.23
1,1,0,20,385,1045,1952,3191,4792,6951,9828,12831,12547
1,1,1,20,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,1,2,20,0.78,0.81,0.81,0.79,0.75,0.69,0.62,0.56,0.52
1,1,3,20,0.51,0.55,0.55,0.53,0.47,0.4,0.33,0.26,0.23
1,1,0,24,807,1569,2630,4235,6502,9624,13548,16563,17072
1,1,1,24,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,1,2,24,0.78,0.81,0.81,0.79,0.75,0.69,0.62,0.56,0.52
1,1,3,24,0.51,0.55,0.55,0.53,0.47,0.4,0.33,0.26,0.23
1,1,0,30,1050,1769,2789,4565,7354,11915,17756,24871,25371
1,1,1,30,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,1,2,30,0.78,0.81,0.81,0.79,0.75,0.69,0.62,0.56,0.52
1,1,3,30,0.51,0.55,0.55,0.53,0.47,0.4,0.33,0.26,0.23
0,2,0,3,4,24,53,82,110,134,151,155,147
0,2,1,3,0.715,0.72,0.79,0.835,0.81,0.735,0.63,0.485,0.615
0,2,2,3,0.3305,0.5855,0.452,0.408,0.4845,0.547,0.4675,0.425,0.3275
0,2,3,3,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,2,0,4,10,51,101,152,206,258,304,321,304
0,2,1,4,0.75,0.78,0.835,0.825,0.8,0.72,0.565,0.5,0.55
0,2,2,4,0.46,0.513,0.3835,0.384,0.43,0.4065,0.3255,0.257,0.217
0,2,3,4,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,2,0,6,34,115,201,309,452,601,750,882,836
0,2,1,6,0.755,0.8,0.785,0.81,0.73,0.675,0.59,0.61,0.585
0,2,2,6,0.408,0.3455,0.364,0.311,0.3195,0.2905,0.3095,0.233,0.2165
0,2,3,6,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,2,0,8,89,222,377,578,833,1151,1513,1764,1825
0,2,1,8,0.805,0.83,0.835,0.805,0.745,0.66,0.58,0.495,0.48
0,2,2,8,0.401,0.3975,0.546,0.452,0.3145,0.256,0.252,0.227,0.1745
0,2,3,8,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,2,0,10,108,285,513,850,1229,1682,2138,2467,2488
0,2,1,10,0.805,0.83,0.835,0.805,0.745,0.66,0.58,0.495,0.48
0,2,2,10,0.4865,0.6985,0.6715,0.5405,0.453,0.3185,0.242,0.186,0.1545
0,2,3,10,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,2,0,12,172,435,731,1178,1756,2476,3272,3600,3962
0,2,1,12,0.81,0.855,0.88,0.8,0.75,0.645,0.55,0.495,0.485
0,2,2,12,0.431,0.6185,0.5875,0.4735,0.3995,0.283,0.2145,0.165,0.1365
0,2,3,12,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,2,0,14,188,459,829,1401,2181,3127,4149,5055,5615
0,2,1,14,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,2,2,14,0.785,0.82,0.81,0.78,0.735,0.67,0.59,0.54,0.52
0,2,3,14,0.51,0.55,0.55,0.53,0.47,0.4,0.33,0.26,0.23
0,2,0,16,229,596,1100,1848,2856,4062,5422,6624,7066
0,2,1,16,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,2,2,16,0.785,0.82,0.81,0.78,0.735,0.67,0.59,0.54,0.52
0,2,3,16,0.51,0.55,0.55,0.53,0.47,0.4,0.33,0.26,0.23
0,2,0,18,387,898,1560,2517,3851,5532,7500,9174,9868
0,2,1,18,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,2,2,18,0.785,0.82,0.81,0.78,0.735,0.67,0.59,0.54,0.52
0,2,3,18,0.51,0.55,0.55,0.53,0.47,0.4,0.33,0.26,0.23
0,2,0,20,535,1133,1940,3122,4820,7044,9397,11281,13336
0,2,1,20,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,2,2,20,0.785,0.82,0.81,0.78,0.735,0.67,0.59,0.54,0.52
0,2,3,20,0.51,0.55,0.55,0.53,0.47,0.4,0.33,0.26,0.23
1,2,0,3,18,35,57,87,114,134,146,150,144
1,2,1,3,0.715,0.72,0.79,0.835,0.81,0.735,0.63,0.485,0.615
1,2,2,3,0.3305,0.5855,0.452,0.408,0.4845,0.547,0.4675,0.425,0.3275
1,2,3,3,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,2,0,4,25,51,89,146,210,266,316,333,316
1,2,1,4,0.75,0.78,0.835,0.825,0.8,0.72,0.565,0.5,0.55
1,2,2,4,0.46,0.513,0.3835,0.384,0.43,0.4065,0.3255,0.257,0.217
1,2,3,4,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,2,0,6,56,126,204,306,425,556,671,717,698
1,2,1,6,0.755,0.8,0.785,0.81,0.73,0.675,0.59,0.61,0.585
1,2,2,6,0.408,0.3455,0.364,0.311,0.3195,0.2905,0.3095,0.233,0.2165
1,2,3,6,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,2,0,8,113,217,350,542,782,1072,1364,1533,1529
1,2,1,8,0.805,0.83,0.835,0.805,0.745,0.66,0.58,0.495,0.48
1,2,2,8,0.401,0.3975,0.546,0.452,0.3145,0.256,0.252,0.227,0.1745
1,2,3,8,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,2,0,10,159,321,526,818,1191,1631,2077,2313,2255
1,2,1,10,0.805,0.83,0.835,0.805,0.745,0.66,0.58,0.495,0.48
1,2,2,10,0.4865,0.6985,0.6715,0.5405,0.453,0.3185,0.242,0.186,0.1545
1,2,3,10,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,2,0,12,193,420,726,1164,1751,2465,3184,3605,3535
1,2,1,12,0.81,0.855,0.88,0.8,0.75,0.645,0.55,0.495,0.485
1,2,2,12,0.431,0.6185,0.5875,0.4735,0.3995,0.283,0.2145,0.165,0.1365
1,2,3,12,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,2,0,14,227,502,897,1435,2162,3061,4051,4763,4700
1,2,1,14,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,2,2,14,0.785,0.82,0.81,0.78,0.735,0.67,0.59,0.54,0.52
1,2,3,14,0.51,0.55,0.55,0.53,0.47,0.4,0.33,0.26,0.23
1,2,0,16,371,716,1202,1907,2778,3864,4945,5595,5466
1,2,1,16,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,2,2,16,0.785,0.82,0.81,0.78,0.735,0.67,0.59,0.54,0.52
1,2,3,16,0.51,0.55,0.55,0.53,0.47,0.4,0.33,0.26,0.23
1,2,0,18,461,953,1605,2539,3777,5339,6872,8239,8312
1,2,1,18,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,2,2,18,0.785,0.82,0.81,0.78,0.735,0.67,0.59,0.54,0.52
1,2,3,18,0.51,0.55,0.55,0.53,0.47,0.4,0.33,0.26,0.23
1,2,0,20,382,1047,1952,3191,4787,6948,9832,12837,12547
1,2,1,20,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,2,2,20,0.785,0.82,0.81,0.78,0.735,0.67,0.59,0.54,0.52
1,2,3,20,0.51,0.55,0.55,0.53,0.47,0.4,0.33,0.26,0.23
