Trim Type,Flow,Charac,Size,Coeff,One,Two,Three,Four,Five,Six,Seven,Eight,Nine,Ten
2,0,0,10,2,1,1,1,1,1,1,1,1,1,1
2,0,0,10,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
2,0,0,12,0,200.5665351,395.1179352,578.5009431,747.0151091,898.6041073,1032.695475,1149.839931,1251.305093,1338.724308,1413.840415
2,0,0,12,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
2,0,0,12,2,1,1,1,1,1,1,1,1,1,1
2,0,0,12,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
2,0,0,14,0,268.8478536,528.834288,772.4872269,994.6380273,1192.654912,1366.110306,1516.161411,1644.903467,1754.84518,1848.5504
2,0,0,14,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
2,0,0,14,2,1,1,1,1,1,1,1,1,1,1
2,0,0,14,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
2,0,0,16,0,344.6672206,678.6771992,992.9448874,1281.02165,1539.417145,1767.279422,1965.721955,2137.084213,2284.305383,2410.476773
2,0,0,16,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
2,0,0,16,2,1,1,1,1,1,1,1,1,1,1
2,0,0,16,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
2,0,0,18,0,629.790013,1219.091219,1739.251805,2178.143249,2537.314196,2826.08253,3056.440859,3240.040252,3386.898116,3505.107239
2,0,0,18,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
2,0,0,18,2,1,1,1,1,1,1,1,1,1,1
2,0,0,18,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
2,0,0,20,0,626.6383214,1233.734494,1804.652892,2327.624629,2796.328495,3209.285394,3568.606801,3878.629071,4144.763318,4372.678283
2,0,0,20,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
2,0,0,20,2,1,1,1,1,1,1,1,1,1,1
2,0,0,20,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
2,0,0,24,0,868.8155209,1702.040737,2470.9396,3157.646486,3755.425471,4266.261611,4697.556856,5059.219714,5361.65196,5614.601231
2,0,0,24,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
2,0,0,24,2,1,1,1,1,1,1,1,1,1,1
2,0,0,24,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
3,0,1,2,0,6.021304881,8.420001186,11.72073881,16.17522067,21.97400979,29.06074161,41.52586621,48.4727898,52.39867808,54.73876902
3,0,1,2,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0,1,2,2,1,1,1,1,1,1,1,1,1,1
3,0,1,2,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
3,0,1,3,0,8.581792519,12.03446841,16.84398456,23.4882372,32.52210161,44.44392184,69.4928224,87.48499121,99.87086721,108.3584566
3,0,1,3,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0,1,3,2,1,1,1,1,1,1,1,1,1,1
3,0,1,3,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
3,0,1,4,0,17.15457689,24.04411397,33.62000776,46.79271883,64.55902797,87.66147914,134.4325702,166.1361498,186.8890933,200.5707752
3,0,1,4,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0,1,4,2,1,1,1,1,1,1,1,1,1,1
3,0,1,4,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
3,0,1,6,0,26.24528967,36.83589794,51.64340896,72.24829217,100.6555514,139.1301331,225.7914524,295.7815185,349.7610258,390.4925251
3,0,1,6,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0,1,6,2,1,1,1,1,1,1,1,1,1,1
3,0,1,6,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
3,0,1,8,0,48.23923455,67.69175922,94.86670761,132.6185224,184.4996272,254.3439127,409.058721,530.4058674,621.2304099,687.9565483
3,0,1,8,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0,1,8,2,1,1,1,1,1,1,1,1,1,1
3,0,1,8,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
3,0,1,10,0,48.2615619,67.75349483,95.03686203,133.0845715,185.7607465,257.6787546,423.3821682,562.8098729,675.1769588,763.5211327
3,0,1,10,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0,1,10,2,1,1,1,1,1,1,1,1,1,1
3,0,1,10,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
3,0,1,12,0,75.53482514,106.0602367,148.8197011,208.5376546,291.4539576,405.2849479,671.7825942,902.8128045,1095.358954,1251.809988
3,0,1,12,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0,1,12,2,1,1,1,1,1,1,1,1,1,1
3,0,1,12,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
3,0,1,14,0,136.119234,190.9947472,267.629455,374.0217913,520.0491997,716.1712015,1147.809014,1482.605694,1730.422205,1910.736002
3,0,1,14,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0,1,14,2,1,1,1,1,1,1,1,1,1,1
3,0,1,14,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
3,0,1,16,0,156.5293314,219.7089916,308.0737205,431.1123814,600.9492613,831.5099256,1354.22283,1781.315251,2114.759111,2369.197926
3,0,1,16,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0,1,16,2,1,1,1,1,1,1,1,1,1,1
3,0,1,16,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
3,0,1,18,0,235.7389188,330.7326483,463.3185257,647.1863934,899.0204806,1235.912228,1969.49843,2528.273859,2934.599822,3225.796575
3,0,1,18,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0,1,18,2,1,1,1,1,1,1,1,1,1,1
3,0,1,18,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
3,0,1,20,0,295.7289696,414.8900604,581.1960786,811.7966766,1127.559797,1549.776922,2468.017978,3165.982144,3672.495534,4034.872616
3,0,1,20,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0,1,20,2,1,1,1,1,1,1,1,1,1,1
3,0,1,20,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
3,0,1,24,0,434.9325235,610.0821546,854.3498921,1192.572772,1654.447585,2268.915391,3587.399033,4567.360235,5263.492873,5752.758683
3,0,1,24,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0,1,24,2,1,1,1,1,1,1,1,1,1,1
3,0,1,24,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
3,0,0,2,0,1.442835508,2.885671015,4.328506523,5.771342031,7.214177538,8.657013046,10.09984855,11.54268406,12.98551957,14.42835508
3,0,0,2,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0,0,2,2,1,1,1,1,1,1,1,1,1,1
3,0,0,2,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
3,0,0,3,0,3.246378398,6.492756796,9.739135194,12.98551359,16.23189199,19.47827039,22.72464879,25.97102718,29.21740558,32.46378398
3,0,0,3,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0,0,3,2,1,1,1,1,1,1,1,1,1,1
3,0,0,3,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
3,0,0,4,0,5.408901742,10.81780348,16.22670523,21.63560697,27.04450871,32.45341045,37.8623122,43.27121394,48.68011568,54.08901742
3,0,0,4,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0,0,4,2,1,1,1,1,1,1,1,1,1,1
3,0,0,4,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
3,0,0,6,0,66.7907243,101.1867654,116.0574644,123.0506273,126.7459328,128.8981922,130.2501559,131.1507409,131.7790843,132
3,0,0,6,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0,0,6,2,1,1,1,1,1,1,1,1,1,1
3,0,0,6,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
3,0,0,8,0,96.1607041,157.8824347,190.6241459,208.0150559,217.8564281,223.8242837,227.6687529,230.2726161,232.1103264,233
3,0,0,8,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0,0,8,2,1,1,1,1,1,1,1,1,1,1
3,0,0,8,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
3,0,0,10,0,74.98207512,145.8631099,209.5759715,264.5741577,310.6852996,348.6328805,379.5524958,404.6570095,425.0592711,442
3,0,0,10,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0,0,10,2,1,1,1,1,1,1,1,1,1,1
3,0,0,10,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
3,0,0,12,0,149.5493215,287.9830708,407.8906349,506.7596209,585.772613,647.9048935,696.5093645,734.6064675,764.6558791,789
3,0,0,12,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0,0,12,2,1,1,1,1,1,1,1,1,1,1
3,0,0,12,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
3,0,0,14,0,100.4726583,199.0188846,293.89159,383.6649596,467.3149172,544.2337218,614.1911506,677.2632345,733.7494567,785
3,0,0,14,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0,0,14,2,1,1,1,1,1,1,1,1,1,1
3,0,0,14,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
3,0,0,16,0,170.1701606,336.6432865,496.1108367,645.9502425,784.3766405,910.445391,1023.94238,1125.215342,1214.993985,1294
3,0,0,16,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0,0,16,2,1,1,1,1,1,1,1,1,1,1
3,0,0,16,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
3,0,0,18,0,260.4473096,512.8259742,750.2598517,967.8718447,1163.026741,1335.08726,1484.902917,1614.249281,1725.353655,1821
3,0,0,18,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0,0,18,2,1,1,1,1,1,1,1,1,1,1
3,0,0,18,3,,,,,,,,,,
3,0,0,20,0,296.8564299,586.8630164,863.9328681,1123.316045,1361.875029,1578.061923,1771.680411,1943.544184,2095.126849,2228
3,0,0,20,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0,0,20,2,1,1,1,1,1,1,1,1,1,1
3,0,0,20,3,,,,,,,,,,
3,0,0,24,0,559.8533507,1090.976237,1571.46713,1989.655354,2343.403988,2637.086423,2878.328382,3075.622204,3236.975349,3369
3,0,0,24,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
3,0,0,24,2,1,1,1,1,1,1,1,1,1,1
3,0,0,24,3,,,,,,,,,,
